,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
47873,2019-07-19,1652,43.05651,-89.3824,Other Non Domesticated,,Dane,2019,JOHN NOLEN DR - Dane
47893,2019-07-29,1953,43.72318,-87.75616,Other Non Domesticated,,Sheboygan,2019,TAYLOR DR - Sheboygan
47912,2019-08-11,315,43.69502,-87.76011,Other Non Domesticated,,Sheboygan,2019,Interstate043
47934,2019-07-17,146,45.11169,-88.18214,Other Non Domesticated,,Oconto,2019,State Highway064
48325,2019-10-23,640,43.88846,-90.97196,Other Non Domesticated,,La Crosse,2019,Interstate090
48388,2019-12-16,1141,42.90892,-88.26293,Other Non Domesticated,,Waukesha,2019,HI LO DR - Waukesha
48471,2019-12-30,1028,43.26266,-87.92003,Other Non Domesticated,,Ozaukee,2019,Interstate043
48520,2019-12-28,2121,43.19451,-89.29336,Other Non Domesticated,,Dane,2019,State Highway019
48770,2019-05-16,820,46.63424,-91.72127,Other Non Domesticated,,Douglas,2019,County HighwayF
48851,2019-05-14,1655,43.10986,-89.05296,Other Non Domesticated,,Dane,2019,Interstate094
48960,2019-06-27,1549,42.62612,-88.41374,Other Non Domesticated,,Walworth,2019,State Highway120
48994,2019-05-28,705,45.97755,-89.85651,Other Non Domesticated,,Vilas,2019,State Highway047
49317,2019-11-20,620,45.23566,-89.70016,Other Non Domesticated,,Lincoln,2019,NORTH STAR RD - Lincoln
49387,2019-10-17,500,42.87107,-89.51006,Other Non Domesticated,,Dane,2019,County HighwayD
49605,2019-11-10,1830,44.25826,-91.37427,Other Non Domesticated,,Trempealeau,2019,State Highway095
49662,2019-12-23,2110,42.85058,-89.33599,Other Non Domesticated,,Dane,2019,US Highway014
